0, e, e, e, e, e, i, i, i, e, e, h, h
0, e, i, i, i, i, i, e, i, i, e, h, 0
e, i, i, i, i, i, i, i, i, e, h, h, 0
e, e, i, i, d, i, e, i, e, h, h, 0, 0
e, e, i, i, i, e, e, e, e, h, 0, 0, 0
e, i, e, i, i, e, e, h, h, 0, 0, 0, 0
e, e, e, e, e, e, h, h, 0, 0, 0, 0, 0
0, e, e, e, h, h, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, h, h, h, h, h, 0
0, 0, 0, 0, 0, h, e, e, h, h, h, h, h
0, 0, 0, 0, h, e, e, e, e, e, h, h, h
0, 0, 0, h, e, e, i, i, e, e, e, h, h
0, 0, e, e, e, e, i, e, e, i, e, h, h
0, e, e, e, e, i, i, i, i, e, e, e, h
0, e, i, i, i, i, d, e, i, i, e, h, 0
e, i, i, i, i, i, i, i, i, e, e, h, 0
i, e, i, i, d, i, i, i, e, e, h, 0, 0
e, e, i, i, i, e, e, e, e, h, 0, 0, 0
e, i, i, i, i, e, e, h, h, 0, 0, 0, 0
e, e, i, e, i, i, e, h, 0, 0, 0, 0, 0
0, e, e, e, e, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, h, h, h, h, h, 0
0, 0, 0, 0, 0, h, e, e, e, e, h, h, h
0, 0, 0, 0, h, e, e, e, e, e, e, h, h
0, 0, 0, e, e, i, i, i, e, e, e, e, h
0, 0, e, e, e, e, i, e, e, i, e, e, h
0, e, e, i, i, i, i, i, i, e, e, e, h
0, e, i, i, i, i, d, e, i, i, e, e, 0
e, i, i, i, i, i, i, i, i, e, e, h, 0
i, e, i, i, d, i, i, i, i, e, h, 0, 0
e, e, i, i, i, i, e, e, e, h, 0, 0, 0
e, i, i, i, i, e, e, e, h, 0, 0, 0, 0
i, e, i, e, i, i, e, e, 0, 0, 0, 0, 0
0, e, e, e, i, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, h, h, h, h, h, 0
0, 0, 0, 0, 0, e, e, e, e, e, e, h, h
0, 0, 0, 0, e, e, e, e, e, i, e, e, h
0, 0, 0, e, e, i, i, i, e, e, e, e, h
0, 0, e, e, e, e, i, i, e, i, e, e, e
0, e, i, i, i, i, i, i, i, e, i, e, h
0, e, i, i, i, i, d, e, i, i, e, e, 0
e, i, i, i, i, i, i, i, i, e, e, h, 0
i, e, i, i, d, i, i, i, i, e, e, 0, 0
i, e, i, i, i, i, e, e, e, e, 0, 0, 0
e, i, i, i, i, e, e, e, e, 0, 0, 0, 0
i, e, i, i, i, i, e, e, 0, 0, 0, 0, 0
0, e, e, e, i, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, e, h, h, h, e, 0
0, 0, 0, 0, 0, e, e, e, e, e, e, e, h
0, 0, 0, 0, e, e, i, e, e, i, e, e, h
0, 0, 0, e, e, i, i, i, e, e, e, e, h
0, 0, i, i, e, e, i, i, e, i, e, e, e
0, e, i, i, i, i, i, i, i, e, i, e, e
0, e, i, i, i, i, d, i, i, i, e, e, 0
e, i, i, i, i, i, i, i, i, e, e, e, 0
i, e, i, i, d, i, i, i, i, e, i, 0, 0
i, e, i, i, i, i, i, e, e, e, 0, 0, 0
e, i, i, i, i, e, e, e, e, 0, 0, 0, 0
i, e, i, i, i, i, e, e, 0, 0, 0, 0, 0
0, e, i, i, i, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, e, e, e, e, e, 0
0, 0, 0, 0, 0, e, e, e, e, e, e, e, h
0, 0, 0, 0, e, e, i, e, e, i, e, e, e
0, 0, 0, e, e, i, i, i, i, i, e, e, e
0, 0, i, i, e, e, i, i, i, i, e, i, e
0, e, i, i, i, i, i, i, i, e, i, e, e
0, e, i, i, i, i, d, i, i, i, e, e, 0
e, i, i, d, i, i, i, i, i, i, e, e, 0
i, i, i, i, d, i, i, i, i, e, i, 0, 0
i, e, i, i, i, i, i, e, e, e, 0, 0, 0
i, i, i, i, i, i, i, e, e, 0, 0, 0, 0
i, e, i, d, i, i, i, e, 0, 0, 0, 0, 0
0, i, i, i, i, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, e, e, e, e, e, 0
0, 0, 0, 0, 0, e, e, e, e, e, e, e, h
0, 0, 0, 0, e, e, i, i, e, i, i, e, e
0, 0, 0, e, e, i, i, i, i, i, e, e, e
0, 0, i, i, e, i, i, i, i, i, e, i, e
0, i, i, i, i, i, i, i, i, e, i, e, e
0, i, i, i, i, i, d, i, i, i, e, i, 0
i, i, i, d, i, i, i, i, i, i, e, e, 0
i, i, i, i, d, i, i, i, i, e, i, 0, 0
i, i, i, i, i, i, i, e, e, e, 0, 0, 0
i, i, i, i, i, i, i, e, e, 0, 0, 0, 0
i, i, i, d, i, i, i, e, 0, 0, 0, 0, 0
0, i, i, i, i, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, e, e, e, e, 0
0, 0, 0, 0, 0, e, e, e, i, e, i, e, e
0, 0, 0, 0, e, e, i, i, e, i, i, e, e
0, 0, 0, e, e, i, i, i, i, i, e, e, e
0, 0, i, i, e, i, i, i, i, i, e, i, e
0, i, i, i, i, i, i, i, i, e, i, e, e
0, i, i, i, i, i, d, i, i, i, e, i, 0
i, i, i, d, i, i, i, i, i, i, e, e, 0
i, i, i, i, d, i, i, i, i, e, i, 0, 0
i, i, i, i, i, i, i, i, e, e, 0, 0, 0
i, i, i, i, i, i, i, e, e, 0, 0, 0, 0
i, i, i, d, i, d, i, e, 0, 0, 0, 0, 0
0, i, i, i, i, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, e, e, e, e, 0
0, 0, 0, 0, 0, e, e, e, i, e, i, e, e
0, 0, 0, 0, e, e, i, i, i, i, i, e, e
0, 0, 0, e, e, i, i, i, i, i, e, e, e
0, 0, i, i, e, i, i, i, i, i, e, i, e
0, i, i, i, i, i, i, i, i, i, i, e, e
0, i, i, i, i, i, d, i, d, i, e, i, 0
i, d, i, d, i, i, i, d, i, i, e, e, 0
i, i, i, i, d, i, i, i, i, e, i, 0, 0
i, i, i, i, i, i, i, i, i, e, 0, 0, 0
i, i, i, i, i, i, i, i, e, 0, 0, 0, 0
i, i, i, d, i, d, i, e, 0, 0, 0, 0, 0
0, i, i, i, i, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, e, e, i, e, 0
0, 0, 0, 0, 0, e, i, e, i, e, i, i, e
0, 0, 0, 0, e, e, i, i, i, i, i, e, e
0, 0, 0, e, e, i, i, d, i, i, e, i, e
0, 0, i, i, e, i, i, i, i, i, e, i, e
0, i, i, i, i, i, i, i, i, i, i, e, e
0, i, d, i, i, i, d, i, d, i, e, i, 0
i, d, i, d, d, i, i, d, i, i, e, e, 0
i, i, i, i, d, d, i, i, i, e, i, 0, 0
i, i, i, i, i, i, i, i, i, e, 0, 0, 0
i, i, i, i, i, i, i, i, i, 0, 0, 0, 0
i, i, i, d, i, d, i, i, 0, 0, 0, 0, 0
0, i, i, i, i, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, e, i, i, 0
0, 0, 0, 0, 0, i, i, i, i, e, i, i, i
0, 0, 0, 0, e, e, i, i, i, i, i, e, e
0, 0, 0, e, e, i, i, d, i, i, e, i, e
0, 0, i, i, i, i, i, i, i, i, e, d, e
0, i, i, i, i, i, i, i, i, i, i, e, e
0, i, d, i, i, i, d, i, d, i, i, i, 0
i, d, i, d, d, i, i, d, i, i, i, e, 0
i, i, i, i, d, d, i, i, i, i, i, 0, 0
i, i, d, i, i, i, i, i, i, e, 0, 0, 0
i, i, i, i, i, i, i, i, i, 0, 0, 0, 0
i, i, i, d, i, d, i, i, 0, 0, 0, 0, 0
0, i, i, i, i, e, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, e, i, i, 0
0, 0, 0, 0, 0, i, i, i, i, e, i, i, i
0, 0, 0, 0, e, e, i, i, i, i, i, e, e
0, 0, 0, i, e, i, i, d, i, i, e, i, i
0, 0, i, i, i, i, i, i, i, i, i, d, e
0, i, i, i, i, i, i, i, i, i, i, i, i
0, i, d, i, i, d, d, i, d, i, i, i, 0
i, d, i, d, d, d, i, d, d, i, i, e, 0
i, i, i, i, d, d, i, d, i, i, i, 0, 0
d, i, d, i, i, i, i, i, i, i, 0, 0, 0
i, d, i, i, i, i, i, i, i, 0, 0, 0, 0
i, i, i, d, i, d, i, i, 0, 0, 0, 0, 0
0, i, i, i, i, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, i, i, i, 0
0, 0, 0, 0, 0, i, i, i, i, i, i, i, i
0, 0, 0, 0, e, i, i, i, i, i, i, i, e
0, 0, 0, i, i, d, i, d, i, i, i, i, i
0, 0, i, i, i, i, d, i, i, i, i, d, e
0, i, i, i, i, i, d, i, i, i, i, i, i
0, i, d, i, d, d, d, i, d, i, i, i, 0
i, d, d, d, d, d, i, d, d, i, i, e, 0
d, i, d, i, d, d, i, d, i, i, i, 0, 0
d, i, d, i, i, i, i, i, i, i, 0, 0, 0
i, d, i, i, i, i, i, i, i, 0, 0, 0, 0
d, i, i, d, i, d, i, i, 0, 0, 0, 0, 0
0, i, i, i, i, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, i, i, i, 0
0, 0, 0, 0, 0, i, i, i, i, i, i, i, i
0, 0, 0, 0, i, i, i, i, i, i, i, i, i
0, 0, 0, i, i, d, i, d, i, i, i, i, i
0, 0, i, i, i, i, d, i, i, i, i, d, i
0, i, i, i, i, d, d, i, d, i, i, i, i
0, i, d, d, d, d, d, i, d, i, i, i, 0
i, d, d, d, d, d, i, d, d, i, i, e, 0
d, i, d, i, d, d, i, d, d, i, i, 0, 0
d, i, d, i, i, i, i, i, i, i, 0, 0, 0
i, d, i, i, i, i, i, i, i, 0, 0, 0, 0
d, i, i, d, d, d, i, i, 0, 0, 0, 0, 0
0, d, i, i, i, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, i, i, i, 0
0, 0, 0, 0, 0, i, i, i, i, i, i, i, i
0, 0, 0, 0, i, i, i, i, i, i, i, i, i
0, 0, 0, i, i, d, d, d, i, i, i, i, i
0, 0, i, i, i, i, d, i, i, i, i, d, i
0, i, i, i, i, d, d, i, d, i, i, i, i
0, i, d, d, d, d, d, i, d, i, i, i, 0
i, d, d, d, d, d, d, d, d, i, i, i, 0
d, i, d, i, d, d, d, d, d, i, i, 0, 0
d, i, d, i, i, i, i, i, i, i, 0, 0, 0
i, d, i, i, i, d, i, i, i, 0, 0, 0, 0
d, i, i, d, d, d, i, i, 0, 0, 0, 0, 0
0, d, i, i, i, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, i, i, i, 0
0, 0, 0, 0, 0, i, i, i, i, i, i, i, i
0, 0, 0, 0, i, i, d, i, i, i, i, i, i
0, 0, 0, i, i, d, d, d, i, i, i, i, i
0, 0, i, d, i, i, d, i, i, i, i, d, i
0, i, i, i, i, d, d, i, d, i, i, i, i
0, i, d, d, d, d, d, i, d, d, i, d, 0
i, d, d, d, d, d, d, d, d, i, i, i, 0
d, i, d, i, d, d, d, d, d, i, i, 0, 0
d, i, d, i, i, i, i, i, i, i, 0, 0, 0
i, d, i, i, i, d, i, i, i, 0, 0, 0, 0
d, i, i, d, d, d, i, i, 0, 0, 0, 0, 0
0, d, d, d, i, i, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, i, i, i, i, i, 0
