0 , 121 , 0 , 0 , 0 , 0.0 ,
55 , 121 , 0 , 0 , 0 , 39485540.064038545 , 121 ,
56 , 121 , 0 , 0 , 0 , 35542488.74529212 , 121 ,
57 , 121 , 0 , 0 , 0 , 31993235.608959243 , 121 ,
58 , 121 , 0 , 0 , 0 , 28798446.82644717 , 121 ,
59 , 121 , 0 , 0 , 0 , 25922717.864779368 , 121 ,
60 , 121 , 0 , 0 , 0 , 23334180.91003981 , 121 ,
61 , 121 , 0 , 0 , 0 , 21004151.51924612 , 121 ,
62 , 121 , 0 , 0 , 0 , 18906810.580068365 , 121 ,
63 , 121 , 0 , 0 , 0 , 17018918.049715217 , 121 ,
64 , 121 , 0 , 0 , 0 , 15319555.297031086 , 121 ,
65 , 121 , 0 , 0 , 0 , 13789893.189304512 , 121 ,
66 , 121 , 0 , 0 , 0 , 12412983.35100738 , 121 ,
67 , 121 , 0 , 0 , 0 , 11173570.278838893 , 121 ,
68 , 121 , 0 , 0 , 0 , 10057922.228894847 , 121 ,
69 , 121 , 0 , 0 , 0 , 9053679.000091642 , 121 ,
70 , 121 , 0 , 0 , 0 , 8149714.925459615 , 121 ,
71 , 121 , 0 , 0 , 0 , 7336015.551663389 , 121 ,
72 , 121 , 0 , 0 , 0 , 6603566.638982397 , 121 ,
73 , 121 , 0 , 0 , 0 , 5944254.250678425 , 121 ,
74 , 121 , 0 , 0 , 0 , 5350774.823707484 , 121 ,
75 , 121 , 0 , 0 , 0 , 4816554.223465912 , 121 ,
76 , 121 , 0 , 0 , 0 , 4335674.884925364 , 121 ,
77 , 121 , 0 , 0 , 0 , 3902810.2322143326 , 121 ,
78 , 121 , 0 , 0 , 0 , 3513165.6494412813 , 121 ,
79 , 121 , 0 , 0 , 0 , 3162425.348222238 , 121 ,
80 , 121 , 0 , 0 , 0 , 2846704.5427809763 , 121 ,
81 , 121 , 0 , 0 , 0 , 2562506.4023581585 , 121 ,
82 , 121 , 0 , 0 , 0 , 2306683.303650927 , 121 ,
83 , 121 , 0 , 0 , 0 , 2076401.953694167 , 121 ,
84 , 121 , 0 , 0 , 0 , 1869111.996518512 , 121 ,
85 , 121 , 0 , 0 , 0 , 1682517.7555544223 , 121 ,
86 , 121 , 0 , 0 , 0 , 1514552.7985250857 , 121 ,
87 , 121 , 0 , 0 , 0 , 1363357.0428694105 , 121 ,
88 , 121 , 0 , 0 , 0 , 1227256.1479072436 , 121 ,
89 , 121 , 0 , 0 , 0 , 1104742.9653148116 , 121 ,
90 , 121 , 0 , 0 , 0 , 994460.8423005543 , 121 ,
91 , 121 , 0 , 0 , 0 , 895188.5924132208 , 121 ,
